date,source_game,target_game,country,ad_impressions,installs
2020-07-01,B,M,US,830,50
2020-07-02,B,M,US,1025,62
2020-07-03,B,M,US,926,57
2020-07-04,B,M,US,1854,111
2020-07-05,B,M,US,898,55
2020-07-06,B,M,US,1140,70
2020-07-07,B,M,US,1014,62
2020-07-08,B,M,US,1080,61
2020-07-09,B,M,US,735,44
2020-07-10,B,M,US,828,47
2020-07-11,B,M,US,964,57
2020-07-12,B,M,US,1129,70
2020-07-13,B,M,US,712,45
2020-07-14,B,M,US,898,53
2020-07-15,B,M,US,855,56
2020-07-16,B,M,US,1046,59
2020-07-17,B,M,US,955,57
2020-07-18,B,M,US,1197,73
2020-07-19,B,M,US,984,51
2020-07-20,B,M,US,1368,90
2020-07-21,B,M,US,2965,160
2020-07-22,B,M,US,3004,170
2020-07-23,B,M,US,6381,384
2020-07-24,B,M,US,14522,986
2020-07-25,B,M,US,21769,1611
2020-07-26,B,M,US,37591,2598
2020-07-27,B,M,US,31073,2348
2020-07-28,B,M,US,36595,2630
2020-07-29,B,M,US,32404,2328
2020-07-30,B,M,US,29604,2247
2020-07-31,B,M,US,32619,2272
2020-07-01,B,N,US,2991,19
2020-07-02,B,N,US,2343,21
2020-07-03,B,N,US,1945,13
2020-07-04,B,N,US,3165,27
2020-07-05,B,N,US,2314,20
2020-07-06,B,N,US,2234,19
2020-07-07,B,N,US,2262,20
2020-07-08,B,N,US,3626,34
2020-07-09,B,N,US,4262,48
2020-07-10,B,N,US,6796,78
2020-07-11,B,N,US,12643,173
2020-07-12,B,N,US,24499,362
2020-07-13,B,N,US,23420,362
2020-07-14,B,N,US,36136,515
2020-07-15,B,N,US,32192,536
2020-07-16,B,N,US,45867,669
2020-07-17,B,N,US,50179,724
2020-07-18,B,N,US,58775,774
2020-07-19,B,N,US,56823,829
2020-07-20,B,N,US,58227,853
2020-07-21,B,N,US,56748,857
2020-07-22,B,N,US,59273,859
2020-07-23,B,N,US,57160,892
2020-07-24,B,N,US,49931,759
2020-07-25,B,N,US,47414,744
2020-07-26,B,N,US,55849,818
2020-07-27,B,N,US,43173,656
2020-07-28,B,N,US,44814,660
2020-07-29,B,N,US,46019,671
2020-07-30,B,N,US,46959,677
2020-07-31,B,N,US,39417,591
2020-07-01,B,O,US,716,26
2020-07-02,B,O,US,293,11
2020-07-03,B,O,US,336,17
2020-07-04,B,O,US,75695,1403
2020-07-05,B,O,US,38680,983
2020-07-06,B,O,US,44370,982
2020-07-07,B,O,US,49248,1099
2020-07-08,B,O,US,51146,1126
2020-07-09,B,O,US,51374,1070
2020-07-10,B,O,US,56451,1209
2020-07-11,B,O,US,63475,1281
2020-07-12,B,O,US,67874,1333
2020-07-13,B,O,US,62618,1163
2020-07-14,B,O,US,55463,1148
2020-07-15,B,O,US,61518,1135
2020-07-16,B,O,US,60471,1153
2020-07-17,B,O,US,55234,997
2020-07-18,B,O,US,51399,915
2020-07-19,B,O,US,52171,964
2020-07-20,B,O,US,42799,782
2020-07-21,B,O,US,37761,726
2020-07-22,B,O,US,36141,637
2020-07-23,B,O,US,38869,705
2020-07-24,B,O,US,46739,858
2020-07-25,B,O,US,44191,847
2020-07-26,B,O,US,45153,840
2020-07-27,B,O,US,39610,773
2020-07-28,B,O,US,31159,578
2020-07-29,B,O,US,30068,557
2020-07-30,B,O,US,28281,529
2020-07-31,B,O,US,30718,542
2020-07-01,B,P,US,21373,716
2020-07-02,B,P,US,15436,573
2020-07-03,B,P,US,18897,671
2020-07-04,B,P,US,32124,1175
2020-07-05,B,P,US,26658,965
2020-07-06,B,P,US,25766,885
2020-07-07,B,P,US,23200,778
2020-07-08,B,P,US,19104,708
2020-07-09,B,P,US,19660,678
2020-07-10,B,P,US,19884,736
2020-07-11,B,P,US,23070,769
2020-07-12,B,P,US,27696,1005
2020-07-13,B,P,US,17846,706
2020-07-14,B,P,US,17669,673
2020-07-15,B,P,US,16318,630
2020-07-16,B,P,US,17540,658
2020-07-17,B,P,US,19211,725
2020-07-18,B,P,US,20379,812
2020-07-19,B,P,US,23620,883
2020-07-20,B,P,US,19702,767
2020-07-21,B,P,US,20360,796
2020-07-22,B,P,US,21719,788
2020-07-23,B,P,US,19418,762
2020-07-24,B,P,US,23538,961
2020-07-25,B,P,US,24337,1014
2020-07-26,B,P,US,26625,1134
2020-07-27,B,P,US,25358,1017
2020-07-28,B,P,US,24367,1013
2020-07-29,B,P,US,21012,866
2020-07-30,B,P,US,20758,829
2020-07-31,B,P,US,21647,905
2020-07-01,B,Q,US,7828,530
2020-07-02,B,Q,US,10408,747
2020-07-03,B,Q,US,10109,694
2020-07-04,B,Q,US,13493,998
2020-07-05,B,Q,US,9592,676
2020-07-06,B,Q,US,7295,559
2020-07-07,B,Q,US,5862,448
2020-07-08,B,Q,US,6710,449
2020-07-09,B,Q,US,6626,456
2020-07-10,B,Q,US,6029,725
2020-07-11,B,Q,US,7841,508
2020-07-12,B,Q,US,13364,892
2020-07-13,B,Q,US,9605,756
2020-07-14,B,Q,US,8339,670
2020-07-15,B,Q,US,6826,544
2020-07-16,B,Q,US,5486,446
2020-07-17,B,Q,US,3822,318
2020-07-18,B,Q,US,3568,268
2020-07-19,B,Q,US,3555,243
2020-07-20,B,Q,US,5436,321
2020-07-21,B,Q,US,4104,271
2020-07-22,B,Q,US,1416,119
2020-07-23,B,Q,US,1372,103
2020-07-24,B,Q,US,2526,188
2020-07-25,B,Q,US,2419,173
2020-07-26,B,Q,US,2080,157
2020-07-27,B,Q,US,1469,110
2020-07-28,B,Q,US,1104,79
2020-07-29,B,Q,US,725,53
2020-07-30,B,Q,US,619,44
2020-07-31,B,Q,US,636,41
2020-07-01,B,R,US,4106,259
2020-07-02,B,R,US,4381,246
2020-07-03,B,R,US,3972,218
2020-07-04,B,R,US,8079,423
2020-07-05,B,R,US,19646,652
2020-07-06,B,R,US,10090,416
2020-07-07,B,R,US,11234,400
2020-07-08,B,R,US,11622,442
2020-07-09,B,R,US,10496,412
2020-07-10,B,R,US,14698,575
2020-07-11,B,R,US,18325,701
2020-07-12,B,R,US,21686,783
2020-07-13,B,R,US,19688,752
2020-07-14,B,R,US,16334,651
2020-07-15,B,R,US,15929,611
2020-07-16,B,R,US,15363,572
2020-07-17,B,R,US,15734,568
2020-07-18,B,R,US,18274,638
2020-07-19,B,R,US,13995,484
2020-07-20,B,R,US,14585,541
2020-07-21,B,R,US,13038,501
2020-07-22,B,R,US,14500,487
2020-07-23,B,R,US,12575,444
2020-07-24,B,R,US,14016,513
2020-07-25,B,R,US,12058,474
2020-07-26,B,R,US,13248,467
2020-07-27,B,R,US,12330,461
2020-07-28,B,R,US,10318,375
2020-07-29,B,R,US,9886,391
2020-07-30,B,R,US,11342,417
2020-07-31,B,R,US,10188,431
2020-07-01,B,S,US,34049,806
2020-07-02,B,S,US,31127,831
2020-07-03,B,S,US,28947,791
2020-07-04,B,S,US,39597,1098
2020-07-05,B,S,US,27636,717
2020-07-06,B,S,US,25201,675
2020-07-07,B,S,US,27260,719
2020-07-08,B,S,US,27431,657
2020-07-09,B,S,US,28757,712
2020-07-10,B,S,US,24021,373
2020-07-11,B,S,US,27975,741
2020-07-12,B,S,US,27301,702
2020-07-13,B,S,US,25102,639
2020-07-14,B,S,US,24634,665
2020-07-15,B,S,US,28371,740
2020-07-16,B,S,US,24231,672
2020-07-17,B,S,US,23422,628
2020-07-18,B,S,US,23212,625
2020-07-19,B,S,US,26616,685
2020-07-20,B,S,US,18118,516
2020-07-21,B,S,US,20382,548
2020-07-22,B,S,US,19146,521
2020-07-23,B,S,US,17959,487
2020-07-24,B,S,US,18487,486
2020-07-25,B,S,US,21456,558
2020-07-26,B,S,US,20963,561
2020-07-27,B,S,US,15286,433
2020-07-28,B,S,US,16226,442
2020-07-29,B,S,US,19744,572
2020-07-30,B,S,US,17372,481
2020-07-31,B,S,US,18417,491
2020-07-01,B,T,US,7669,308
2020-07-02,B,T,US,6583,301
2020-07-03,B,T,US,7501,336
2020-07-04,B,T,US,10317,458
2020-07-05,B,T,US,8926,316
2020-07-06,B,T,US,11031,382
2020-07-07,B,T,US,9997,409
2020-07-08,B,T,US,12153,455
2020-07-09,B,T,US,11630,472
2020-07-10,B,T,US,10250,455
2020-07-11,B,T,US,12124,476
2020-07-12,B,T,US,12681,496
2020-07-13,B,T,US,13340,482
2020-07-14,B,T,US,10101,402
2020-07-15,B,T,US,10366,359
2020-07-16,B,T,US,8691,323
2020-07-17,B,T,US,11015,326
2020-07-18,B,T,US,7351,287
2020-07-19,B,T,US,8790,316
2020-07-20,B,T,US,6193,251
2020-07-21,B,T,US,6062,222
2020-07-22,B,T,US,5527,223
2020-07-23,B,T,US,7612,275
2020-07-24,B,T,US,6324,207
2020-07-25,B,T,US,8407,265
2020-07-26,B,T,US,8274,269
2020-07-27,B,T,US,7456,247
2020-07-28,B,T,US,5796,182
2020-07-29,B,T,US,6588,209
2020-07-30,B,T,US,6842,236
2020-07-31,B,T,US,6873,223
2020-07-01,C,K,US,7932,630
2020-07-02,C,K,US,9630,831
2020-07-03,C,K,US,8898,702
2020-07-04,C,K,US,9464,774
2020-07-05,C,K,US,6436,496
2020-07-06,C,K,US,8451,593
2020-07-07,C,K,US,7772,562
2020-07-08,C,K,US,9186,661
2020-07-09,C,K,US,8309,599
2020-07-10,C,K,US,7671,540
2020-07-11,C,K,US,7229,518
2020-07-12,C,K,US,6401,452
2020-07-13,C,K,US,4129,335
2020-07-14,C,K,US,2244,230
2020-07-15,C,K,US,1714,165
2020-07-16,C,K,US,1721,155
2020-07-17,C,K,US,1458,132
2020-07-18,C,K,US,1772,157
2020-07-19,C,K,US,2015,166
2020-07-20,C,K,US,1511,126
2020-07-21,C,K,US,1340,117
2020-07-22,C,K,US,1101,109
2020-07-23,C,K,US,2146,184
2020-07-24,C,K,US,2328,193
2020-07-25,C,K,US,2709,243
2020-07-26,C,K,US,3481,295
2020-07-27,C,K,US,2611,243
2020-07-28,C,K,US,1855,161
2020-07-29,C,K,US,1115,112
2020-07-30,C,K,US,1171,108
2020-07-31,C,K,US,1180,116
2020-07-01,C,L,US,2,0
2020-07-02,C,L,US,1,0
2020-07-03,C,L,US,4,1
2020-07-04,C,L,US,6,0
2020-07-05,C,L,US,63,4
2020-07-06,C,L,US,108,4
2020-07-07,C,L,US,55,4
2020-07-08,C,L,US,1794,76
2020-07-09,C,L,US,12263,379
2020-07-10,C,L,US,1713,43
2020-07-11,C,L,US,32454,1069
2020-07-12,C,L,US,74471,2596
2020-07-13,C,L,US,63460,1952
2020-07-14,C,L,US,31594,1073
2020-07-15,C,L,US,41099,790
2020-07-16,C,L,US,34669,533
2020-07-17,C,L,US,25700,335
2020-07-18,C,L,US,40703,388
2020-07-19,C,L,US,26153,275
2020-07-20,C,L,US,13544,108
2020-07-21,C,L,US,2008,30
2020-07-22,C,L,US,328,12
2020-07-23,C,L,US,133,5
2020-07-24,C,L,US,15,4
2020-07-25,C,L,US,2,1
2020-07-26,C,L,US,2,1
2020-07-27,C,L,US,4,0
2020-07-28,C,L,US,133,1
2020-07-29,C,L,US,130,2
2020-07-30,C,L,US,70,1
2020-07-31,C,L,US,376,3
2020-07-01,C,M,US,9877,193
2020-07-02,C,M,US,9742,203
2020-07-03,C,M,US,12302,248
2020-07-04,C,M,US,22508,419
2020-07-05,C,M,US,15557,272
2020-07-06,C,M,US,17493,322
2020-07-07,C,M,US,18110,315
2020-07-08,C,M,US,17554,349
2020-07-09,C,M,US,19421,362
2020-07-10,C,M,US,21605,410
2020-07-11,C,M,US,20749,382
2020-07-12,C,M,US,26167,480
2020-07-13,C,M,US,18483,369
2020-07-14,C,M,US,14148,270
2020-07-15,C,M,US,15201,308
2020-07-16,C,M,US,19495,330
2020-07-17,C,M,US,17413,331
2020-07-18,C,M,US,17671,335
2020-07-19,C,M,US,25736,414
2020-07-20,C,M,US,22819,421
2020-07-21,C,M,US,21652,423
2020-07-22,C,M,US,22227,402
2020-07-23,C,M,US,26424,460
2020-07-24,C,M,US,25873,422
2020-07-25,C,M,US,22175,406
2020-07-26,C,M,US,20729,348
2020-07-27,C,M,US,16648,318
2020-07-28,C,M,US,16810,312
2020-07-29,C,M,US,19182,320
2020-07-30,C,M,US,20057,332
2020-07-31,C,M,US,20052,340
2020-07-01,C,N,US,13209,338
2020-07-02,C,N,US,14462,412
2020-07-03,C,N,US,11316,323
2020-07-04,C,N,US,11255,276
2020-07-05,C,N,US,7504,174
2020-07-06,C,N,US,5271,126
2020-07-07,C,N,US,9026,215
2020-07-08,C,N,US,21057,477
2020-07-09,C,N,US,17991,473
2020-07-10,C,N,US,15103,392
2020-07-11,C,N,US,11810,295
2020-07-12,C,N,US,14373,348
2020-07-13,C,N,US,7877,204
2020-07-14,C,N,US,5621,123
2020-07-15,C,N,US,20285,468
2020-07-16,C,N,US,64518,1691
2020-07-17,C,N,US,83736,2138
2020-07-18,C,N,US,94004,2326
2020-07-19,C,N,US,88556,2083
2020-07-20,C,N,US,72769,1682
2020-07-21,C,N,US,51739,1261
2020-07-22,C,N,US,1544,142
2020-07-23,C,N,US,822,50
2020-07-24,C,N,US,755,29
2020-07-25,C,N,US,403,25
2020-07-26,C,N,US,139,13
2020-07-27,C,N,US,64,4
2020-07-28,C,N,US,87,3
2020-07-29,C,N,US,30,1
2020-07-30,C,N,US,48,0
2020-07-31,C,N,US,126,2
2020-07-01,C,O,US,24993,912
2020-07-02,C,O,US,25498,942
2020-07-03,C,O,US,25694,932
2020-07-04,C,O,US,34137,1263
2020-07-05,C,O,US,21201,803
2020-07-06,C,O,US,19578,675
2020-07-07,C,O,US,19840,732
2020-07-08,C,O,US,18868,712
2020-07-09,C,O,US,17760,651
2020-07-10,C,O,US,16277,606
2020-07-11,C,O,US,19836,697
2020-07-12,C,O,US,20967,749
2020-07-13,C,O,US,18268,683
2020-07-14,C,O,US,18406,677
2020-07-15,C,O,US,19893,709
2020-07-16,C,O,US,20171,690
2020-07-17,C,O,US,17282,687
2020-07-18,C,O,US,19122,689
2020-07-19,C,O,US,19568,725
2020-07-20,C,O,US,19562,693
2020-07-21,C,O,US,16528,616
2020-07-22,C,O,US,17900,684
